tim,utakmice,pobede,remiji,porazi,bodovi,dati_golovi,primljeni_golovi,gol_razlika,sutevi,sutevi_u_okvir,korneri,fauli,zuti_kartoni,crveni_kartoni,sezona,vrednost
West Brom,38,10.0,13.0,15.0,43.0,34.0,48.0,-14.0,384.0,106.0,188.0,392.0,63.0,3.0,2015/16,113.10
West Ham,38,16.0,14.0,8.0,62.0,65.0,51.0,14.0,556.0,184.0,224.0,381.0,56.0,5.0,2015/16,201.33
Arsenal,38,23.0,6.0,9.0,75.0,77.0,44.0,33.0,565.0,200.0,227.0,397.0,67.0,3.0,2016/17,542.00
Bournemouth,38,12.0,10.0,16.0,46.0,55.0,67.0,-12.0,446.0,160.0,191.0,366.0,51.0,3.0,2016/17,131.60
Burnley,38,11.0,7.0,20.0,40.0,39.0,55.0,-16.0,390.0,120.0,149.0,426.0,65.0,2.0,2016/17,107.18
Chelsea,38,30.0,3.0,5.0,93.0,85.0,33.0,52.0,580.0,204.0,218.0,394.0,72.0,0.0,2016/17,686.70
Crystal Palace,38,12.0,5.0,21.0,41.0,50.0,63.0,-13.0,438.0,138.0,202.0,469.0,77.0,0.0,2016/17,228.43
Everton,38,17.0,10.0,11.0,61.0,62.0,44.0,18.0,498.0,192.0,196.0,459.0,71.0,2.0,2016/17,311.25
Leicester,38,12.0,8.0,18.0,44.0,48.0,63.0,-15.0,432.0,145.0,197.0,451.0,71.0,1.0,2016/17,218.65
Liverpool,38,22.0,10.0,6.0,76.0,78.0,42.0,36.0,638.0,236.0,249.0,397.0,54.0,0.0,2016/17,425.65
Man City,38,23.0,9.0,6.0,78.0,80.0,39.0,41.0,633.0,217.0,280.0,395.0,71.0,4.0,2016/17,576.50
Man United,38,18.0,15.0,5.0,69.0,54.0,29.0,25.0,589.0,210.0,217.0,497.0,76.0,2.0,2016/17,531.45
Southampton,38,12.0,10.0,16.0,46.0,41.0,48.0,-7.0,548.0,179.0,200.0,424.0,58.0,2.0,2016/17,263.75
Stoke,38,11.0,11.0,16.0,44.0,41.0,56.0,-15.0,426.0,137.0,188.0,434.0,70.0,2.0,2016/17,186.00
Swansea,38,12.0,5.0,21.0,41.0,45.0,70.0,-25.0,390.0,146.0,196.0,401.0,56.0,0.0,2016/17,157.10
Tottenham,38,26.0,8.0,4.0,86.0,86.0,26.0,60.0,669.0,257.0,273.0,432.0,62.0,0.0,2016/17,543.65
